term,strongs,book,chapter,verse,word,morph,kjv_verse
παρακαλέω,G3870,Php,4,2,παρακαλῶ,V-PAI-1S,"I beseech Euodias, and beseech Syntyche, that they be of the same mind in the Lord."
παρακαλέω,G3870,Col,2,2,παρακληθῶσιν,V-APS-3P,"That their hearts might be comforted, being knit together in love, and unto all riches of the full assurance of understanding, to the acknowledgement of the mystery of God, and of the Father, and of Christ;"
παρακαλέω,G3870,Col,4,8,παρακαλέσῃ,V-AAS-3S,"Whom I have sent unto you for the same purpose, that he might know your estate, and comfort your hearts;"
παρακαλέω,G3870,1Th,3,2,παρακαλέσαι,V-AAN,"And sent Timotheus, our brother, and minister of God, and our fellowlabourer in the gospel of Christ, to establish you, and to comfort you concerning your faith:"
παρακαλέω,G3870,1Th,3,7,"παρεκλήθημεν,",V-API-1P,"Therefore, brethren, we were comforted over you in all our affliction and distress by your faith:"
παρακαλέω,G3870,1Th,4,1,παρακαλοῦμεν,V-PAI-1P,"Furthermore then we beseech you, brethren, and exhort you by the Lord Jesus, that as ye have received of us how ye ought to walk and to please God, so ye would abound more and more."
παρακαλέω,G3870,1Th,4,10,Παρακαλοῦμεν,V-PAI-1P,"And indeed ye do it toward all the brethren which are in all Macedonia: but we beseech you, brethren, that ye increase more and more;"
παρακαλέω,G3870,1Th,4,18,παρακαλεῖτε,V-PAM-2P,Wherefore comfort one another with these words.
παρακαλέω,G3870,1Th,5,11,παρακαλεῖτε,V-PAM-2P,"Wherefore comfort yourselves together, and edify one another, even as also ye do."
παρακαλέω,G3870,1Th,5,14,Παρακαλοῦμεν,V-PAI-1P,"Now we exhort you, brethren, warn them that are unruly, comfort the feebleminded, support the weak, be patient toward all men."
παρακαλέω,G3870,2Th,2,17,παρακαλέσαι,V-AAO-3S,"Comfort your hearts, and stablish you in every good word and work."
παρακαλέω,G3870,2Th,3,12,παρακαλοῦμεν,V-PAI-1P,"Now them that are such we command and exhort by our Lord Jesus Christ, that with quietness they work, and eat their own bread."
παρακαλέω,G3870,1Ti,1,3,παρεκάλεσά,V-AAI-1S,"As I besought thee to abide still at Ephesus, when I went into Macedonia, that thou mightest charge some that they teach no other doctrine,"
παρακαλέω,G3870,1Ti,2,1,Παρακαλῶ,V-PAI-1S,"I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;"
παρακαλέω,G3870,1Ti,5,1,παρακάλει,V-PAM-2S,"Rebuke not an elder, but intreat him as a father; and the younger men as brethren;"
παρακαλέω,G3870,1Ti,6,2,παρακάλει.,V-PAM-2S,"And they that have believing masters, let them not despise them, because they are brethren; but rather do them service, because they are faithful and beloved, partakers of the benefit. These things teach and exhort."
παρακαλέω,G3870,2Ti,4,2,παρακάλεσον,V-AAM-2S,"Preach the word; be instant in season, out of season; reprove, rebuke, exhort with all longsuffering and doctrine."
παρακαλέω,G3870,Tit,1,9,παρακαλεῖν,V-PAN,"Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers."
παρακαλέω,G3870,Tit,2,6,παρακάλει,V-PAM-2S,Young men likewise exhort to be sober minded.
παρακαλέω,G3870,Tit,2,15,παρακάλει,V-PAM-2S,"These things speak, and exhort, and rebuke with all authority. Let no man despise thee."
παρακαλέω,G3870,Phm,1,9,"παρακαλῶ,",V-PAI-1S,"Yet for love’s sake I rather beseech thee, being such an one as Paul the aged, and now also a prisoner of Jesus Christ."
παρακαλέω,G3870,Phm,1,10,παρακαλῶ,V-PAI-1S,"I beseech thee for my son Onesimus, whom I have begotten in my bonds:"
παρακαλέω,G3870,Heb,3,13,παρακαλεῖτε,V-PAM-2P,"But exhort one another daily, while it is called To day; lest any of you be hardened through the deceitfulness of sin."
παρακαλέω,G3870,Heb,10,25,"παρακαλοῦντες,",V-PAP-NPM,"Not forsaking the assembling of ourselves together, as the manner of some is; but exhorting one another: and so much the more, as ye see the day approaching."
παρακαλέω,G3870,Heb,13,19,παρακαλῶ,V-PAI-1S,"But I beseech you the rather to do this, that I may be restored to you the sooner."
παρακαλέω,G3870,Heb,13,22,Παρακαλῶ,V-PAI-1S,"And I beseech you, brethren, suffer the word of exhortation: for I have written a letter unto you in few words."
παρακαλέω,G3870,1Pe,2,11,παρακαλῶ,V-PAI-1S,"Dearly beloved, I beseech you as strangers and pilgrims, abstain from fleshly lusts, which war against the soul;"
παρακαλέω,G3870,1Pe,5,1,παρακαλῶ,V-PAI-1S,"The elders which are among you I exhort, who am also an elder, and a witness of the sufferings of Christ, and also a partaker of the glory that shall be revealed:"
παρακαλέω,G3870,1Pe,5,12,παρακαλῶν,V-PAP-NSM,"By Silvanus, a faithful brother unto you, as I suppose, I have written briefly, exhorting, and testifying that this is the true grace of God wherein ye stand."
παρακαλέω,G3870,Jud,1,3,παρακαλῶν,V-PAP-NSM,"Beloved, when I gave all diligence to write unto you of the common salvation, it was needful for me to write unto you, and exhort you that ye should earnestly contend for the faith which was once delivered unto the saints."
παράκλησις,G3874,Luk,2,25,παράκλησιν,N-ASF,"And, behold, there was a man in Jerusalem, whose name was Simeon; and the same man was just and devout, waiting for the consolation of Israel: and the Holy Ghost was upon him."
παράκλησις,G3874,Luk,6,24,παράκλησιν,N-ASF,But woe unto you that are rich! for ye have received your consolation.
παράκλησις,G3874,Act,4,36,"παρακλήσεως,",N-GSF,"And Joses, who by the apostles was surnamed Barnabas, (which is, being interpreted, The son of consolation,) a Levite, and of the country of Cyprus,"
παράκλησις,G3874,Act,9,31,παρακλήσει,N-DSF,"Then had the churches rest throughout all Judea and Galilee and Samaria, and were edified; and walking in the fear of the Lord, and in the comfort of the Holy Ghost, were multiplied."
παράκλησις,G3874,Act,13,15,παρακλήσεως,N-GSF,"And after the reading of the law and the prophets the rulers of the synagogue sent unto them, saying, Ye men and brethren, if ye have any word of exhortation for the people, say on."
παράκλησις,G3874,Act,15,31,παρακλήσει.,N-DSF,"Which when they had read, they rejoiced for the consolation."
παράκλησις,G3874,Rom,12,8,"παρακλήσει,",N-DSF,"Or he that exhorteth, on exhortation: he that giveth, let him do it with simplicity; he that ruleth, with diligence; he that sheweth mercy, with cheerfulness."
παράκλησις,G3874,Rom,15,4,παρακλήσεως,N-GSF,"For whatsoever things were written aforetime were written for our learning, that we through patience and comfort of the scriptures might have hope."
παράκλησις,G3874,Rom,15,5,παρακλήσεως,N-GSF,Now the God of patience and consolation grant you to be likeminded one toward another according to Christ Jesus:
παράκλησις,G3874,1Co,14,3,παράκλησιν,N-ASF,"But he that prophesieth speaketh unto men to edification, and exhortation, and comfort."
παράκλησις,G3874,2Co,1,3,"παρακλήσεως,",N-GSF,"Blessed be God, even the Father of our Lord Jesus Christ, the Father of mercies, and the God of all comfort;"
παράκλησις,G3874,2Co,1,4,παρακλήσεως,N-GSF,"Who comforteth us in all our tribulation, that we may be able to comfort them which are in any trouble, by the comfort wherewith we ourselves are comforted of God."
παράκλησις,G3874,2Co,1,5,παράκλησις,N-NSF,"For as the sufferings of Christ abound in us, so our consolation also aboundeth by Christ."
παράκλησις,G3874,2Co,1,6,παρακλήσεως,N-GSF,"And whether we be afflicted, it is for your consolation and salvation, which is effectual in the enduring of the same sufferings which we also suffer: or whether we be comforted, it is for your consolation and salvation."
παράκλησις,G3874,2Co,1,6,παρακλήσεως,N-GSF,"And whether we be afflicted, it is for your consolation and salvation, which is effectual in the enduring of the same sufferings which we also suffer: or whether we be comforted, it is for your consolation and salvation."
παράκλησις,G3874,2Co,1,7,παρακλήσεως.¶,N-GSF,"And our hope of you is stedfast, knowing, that as ye are partakers of the sufferings, so shall ye be also of the consolation."
παράκλησις,G3874,2Co,7,4,"παρακλήσει,",N-DSF,"Great is my boldness of speech toward you, great is my glorying of you: I am filled with comfort, I am exceeding joyful in all our tribulation."
παράκλησις,G3874,2Co,7,7,παρακλήσει,N-DSF,"And not by his coming only, but by the consolation wherewith he was comforted in you, when he told us your earnest desire, your mourning, your fervent mind toward me; so that I rejoiced the more."
παράκλησις,G3874,2Co,7,13,παρακλήσει,N-DSF,"Therefore we were comforted in your comfort: yea, and exceedingly the more joyed we for the joy of Titus, because his spirit was refreshed by you all."
παράκλησις,G3874,2Co,8,4,παρακλήσεως,N-GSF,"Praying us with much intreaty that we would receive the gift, and take upon us the fellowship of the ministering to the saints."
παράκλησις,G3874,2Co,8,17,παράκλησιν,N-ASF,"For indeed he accepted the exhortation; but being more forward, of his own accord he went unto you."
παράκλησις,G3874,Php,2,1,παράκλησις,N-NSF,"If there be therefore any consolation in Christ, if any comfort of love, if any fellowship of the Spirit, if any bowels and mercies,"
παράκλησις,G3874,1Th,2,3,παράκλησις,N-NSF,"For our exhortation was not of deceit, nor of uncleanness, nor in guile:"
παράκλησις,G3874,2Th,2,16,παράκλησιν,N-ASF,"Now our Lord Jesus Christ himself, and God, even our Father, which hath loved us, and hath given us everlasting consolation and good hope through grace,"
παράκλησις,G3874,1Ti,4,13,"παρακλήσει,",N-DSF,"Till I come, give attendance to reading, to exhortation, to doctrine."
παράκλησις,G3874,Phm,1,7,παράκλησιν,N-ASF,"For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother."
παράκλησις,G3874,Heb,6,18,παράκλησιν,N-ASF,"That by two immutable things, in which it was impossible for God to lie, we might have a strong consolation, who have fled for refuge to lay hold upon the hope set before us:"
παράκλησις,G3874,Heb,12,5,παρακλήσεως,N-GSF,"And ye have forgotten the exhortation which speaketh unto you as unto children, My son, despise not thou the chastening of the Lord, nor faint when thou art rebuked of him:"
παράκλησις,G3874,Heb,13,22,παρακλήσεως·,N-GSF,"And I beseech you, brethren, suffer the word of exhortation: for I have written a letter unto you in few words."
